Date,venue,City,State,Country,Recording Surfaced
23/1/1993,Praça da Apoteose (Hollywood Rock Festival),Rio de Janeiro,,Brazil,Y
9/4/1993,Cow Palace,Daly City,CA,United States,Y
23/7/1993,Roseland Ballroom,New York,NY,United States,Y
6/8/1993,King Performance Center (Mia Zapata Benefit),Seattle,WA,United States,Y
8/9/1993,Club Lingerie (Rock Against Rape Benefit),Hollywood,CA,United States,Y
23/9/1993,NBC Studios (Saturday Night Live rehearsals),New York,NY,United States,Y
25/9/1993,NBC Studios (Saturday Night Live dress rehearsal),New York,NY,United States,N
25/9/1993,NBC Studios (Saturday Night Live),New York,NY,United States,Y
18/10/1993,Veterans Memorial Coliseum (Arizona State Fair),Phoenix,AZ,United States,Y
19/10/1993,"SE Exhibit Hall, Albuquerque Convention Center",Albuquerque,NM,United States,N
21/10/1993,Memorial Hall,Kansas City,KS,United States,Y
22/10/1993,Palmer Alumni Auditorium,Davenport,IA,United States,Y
23/10/1993,Aragon Ballroom,Chicago,IL,United States,Y
25/10/1993,Aragon Ballroom,Chicago,IL,United States,N
26/10/1993,Mecca Auditorium,Milwaukee,WI,United States,Y
27/10/1993,Wings Stadium,Kalamazoo,MI,United States,N
29/10/1993,Michigan State Fairgrounds Coliseum,Detroit,MI,United States,Y
30/10/1993,Hara Arena,Dayton,OH,United States,Y
31/10/1993,University of Akron,Akron,OH,United States,Y
2/11/1993,Auditorium de Verdun,Verdun,QC,Canada,Y
4/11/1993,Maple Leaf Gardens,Toronto,ON,Canada,Y
5/11/1993,University at Buffalo,Amherst,NY,United States,Y
7/11/1993,"William and Mary Hall, The College of William & Mary",Williamsburg,VA,United States,Y
8/11/1993,Armory,Philadelphia,PA,United States,Y
9/11/1993,Lehigh University,Bethlehem,PA,United States,Y
10/11/1993,Springfield Civic Center,Springfield,MA,United States,Y
12/11/1993,George Wallace Civic Center,Fitchburg,MA,United States,Y
13/11/1993,American University,Washington,DC,United States,Y
14/11/1993,New York Coliseum,New York,NY,United States,Y
15/11/1993,Roseland Ballroom,New York,NY,United States,Y
16/11/1993,SST Rehearsal Facility (MTV Unplugged rehearsals),Weehawken,NJ,United States,N
17/11/1993,SST Rehearsal Facility (MTV Unplugged rehearsals),Weehawken,NJ,United States,N
18/11/1993,Sony Music Studios (MTV Unplugged rehearsal),New York,NY,United States,Y
18/11/1993,Sony Music Studios (MTV Unplugged rehearsals),New York,NY,United States,Y
18/11/1993,Sony Music Studios (MTV Unplugged),New York,NY,United States,Y
26/11/1993,Morocco Shrine Auditorium,Jacksonville,FL,United States,N
27/11/1993,AT&T Bayfront Park Amphitheater,Miami,FL,United States,Y
28/11/1993,"Jenkins Arena, Lakeland Civic Center",Lakeland,FL,United States,N
29/11/1993,Omni,Atlanta,GA,United States,Y
1/12/1993,Boutwell Municipal Auditorium,Birmingham,AL,United States,N
2/12/1993,Tallahassee-Leon County Civic Center,Tallahassee,FL,United States,Y
